a52dec 0.8.0
abseil 20260107.1
ada-url 3.4.4
adns 1.6.2
adwaita-icon-theme 50.0
airspy 1.0.10
airspyhf 1.6.8
aom 3.14.1
aria2 1.37.0_2
aribb24 1.0.4
assimp 6.0.5
at-spi2-core 2.60.4
augeas 1.14.1_1
awscli 2.34.63
bash 5.3.12
bdw-gc 8.2.12
berkeley-db@5 5.3.28_1
boost 1.90.0_1
boost-build 1.90.0
brotli 1.2.0
bwfmetaedit 26.01
c-ares 1.34.6
ca-certificates 2026-05-14
cairo 1.18.4
capstone 5.0.9
certbot 5.6.0_1
certifi 2026.5.20
cffi 2.0.0_1
chrony 4.8_1
cjson 1.7.19
cmake 4.3.3
cmocka 2.0.2
codec2 1.2.0
colima 0.10.3
coreutils 9.11
cpio 2.15
cpu_features 0.11.0
cpufetch 1.07
crc32c 1.1.2
cryptography 48.0.0
cunit 2.1-3
curl 8.20.0
dav1d 1.5.3
dbus 1.16.2_1
dialog 1.3-20260107
docbook 5.2_1
docbook-xsl 1.79.2_1
docker 29.5.3
docker-completion 29.5.3
docker-compose 5.1.4
double-conversion 3.4.0
dtc 1.8.1
duktape 2.7.0
exempi 2.6.6
exiftool 13.55
eye-d3 0.9.9
faac 1.50
faad2 2.11.2
fdk-aac 2.0.3
ffmpeg 8.1.1
ffmpeg@6 6.1.5
fftw 3.3.11
findutils 4.10.0
flac 1.5.0
fmt 12.1.0
fontconfig 2.18.1
freetype 2.14.3
frei0r 3.1.3
fribidi 1.0.16
gawk 5.4.0
gcc 15.2.0_1
gdbm 1.26
gdk-pixbuf 2.44.6
gengetopt 2.23
gettext 1.0
gh 2.93.0
ghostscript 10.07.1
giflib 6.1.3
git 2.54.0
git-lfs 3.7.1
glfw 3.4
glib 2.88.1
glib-networking 2.80.1
gmp 6.3.0
gnu-getopt 2.42.1
gnu-sed 4.10
gnupg 2.5.20
gnutls 3.8.13_2
gobject-introspection 1.86.0_2
google-authenticator-libpam 1.11
gpac 26.02.0
graphene 1.10.8
graphite2 1.3.15
grep 3.12
