# backup: 20250504 @ 0550 (UTC)
a52dec 0.8.0
abseil 20240722.1
adns 1.6.1
adwaita-icon-theme 48.0
airspy 1.0.10
airspyhf 1.6.8
aom 3.12.1
aria2 1.37.0
aribb24 1.0.4
assimp 5.4.3
at-spi2-core 2.56.2
augeas 1.14.1
awscli 2.27.7
bash 5.2.37
bdw-gc 8.2.8
berkeley-db@5 5.3.28_1
boost 1.88.0
boost-build 1.88.0
brotli 1.1.0
bwfmetaedit 25.04
c-ares 1.34.5
ca-certificates 2025-02-25
cairo 1.18.4
capstone 5.0.6
certbot 4.0.0
certifi 2025.4.26
cffi 1.17.1_1
chrony 4.6.1
cjson 1.7.18
cmake 4.0.1
cmocka 1.1.7
codec2 1.2.0
coreutils 9.7
cpio 2.15
cpu_features 0.10.0
cpufetch 1.06
crc32c 1.1.2
cryptography 44.0.3
cunit 2.1-3
curl 8.13.0
dav1d 1.5.1
dbus 1.16.2
dialog 1.3-20250116
docbook 5.1_1
docbook-xsl 1.79.2_1
docker 28.1.1
docker-completion 28.1.1
double-conversion 3.3.1
dtc 1.7.2
duktape 2.7.0
exempi 2.6.6
exiftool 13.25
eye-d3 0.9.8
faac 1.31.1
faad2 2.11.2
fdk-aac 2.0.3
ffmpeg 7.1.1_2
ffmpeg@6 6.1.2_9
fftw 3.3.10_2
findutils 4.10.0
flac 1.5.0
fmt 11.2.0
fontconfig 2.16.0
freetype 2.13.3
frei0r 2.3.3
fribidi 1.0.16
gcc 14.2.0_1
gdbm 1.25
gdk-pixbuf 2.42.12_1
gengetopt 2.23
gettext 0.24
ghostscript 10.05.1
giflib 5.2.2
git 2.49.0
git-lfs 3.6.1
glfw 3.4
glib 2.84.1
glib-networking 2.80.1
gmp 6.3.0
gnu-getopt 2.41
gnu-sed 4.9
gnupg 2.4.7
gnutls 3.8.9
gobject-introspection 1.84.0
google-authenticator-libpam 1.11
gpac 2.4.0
graphene 1.10.8
graphite2 1.3.14
grep 3.12
gsettings-desktop-schemas 48.0
gstreamer 1.26.1
gtk+3 3.24.43
gtk-vnc 1.5.0
gtk4 4.18.4
gtksourceview4 4.8.4_1
guile 3.0.10
hackrf 2024.02.1
harfbuzz 11.2.0
hicolor-icon-theme 0.18
highway 1.2.0
html2text 2.2.3
htop 3.4.1
httrack 3.49.2_1
hunspell 1.7.2
hwloc 2.12.0
icu4c@76 76.1_2
icu4c@77 77.1
id3lib 3.8.3_1
id3tool 1.2a
id3v2 0.1.12
imagemagick 7.1.1-47
imath 3.1.12
img2pdf 0.6.1
imlib2 1.12.5
iperf3 3.18
isl 0.27
